nivel,proceso_slug,nombre,edad_min,edad_max,titulo,actividad_familia,objetivo,prioridad
1,general,Estimulación general,3,6,Lectura compartida,"Leed un cuento juntos 10 minutos al día: el adulto lee, pregunta ('¿qué pasará ahora?', '¿quién es este?') y deja que el niño complete frases y comente lo que ve.",Estimular vocabulario y lenguaje oral con lectura dialógica.,1
1,general,Estimulación general,3,6,Describir imágenes,"Mirad juntos una lámina o foto y preguntad: ¿qué ves?, ¿qué hace?, ¿de qué color es?, ¿dónde está? Celebrad cada respuesta y ampliadla ('sí, un perro GRANDE que corre').",Ampliar vocabulario y construcción de frases.,2
1,general,Estimulación general,3,6,Juegos de vocabulario,"Jugad a decir nombres por categorías: animales, colores, transportes, comidas… ('¿cuántos animales sabes?'). Vale con dibujos o por la calle.",Organizar y ampliar el vocabulario por categorías.,3
2,fonologica,Conciencia fonológica,4,6,Palmas a las sílabas,Dad una palmada por cada trocito de la palabra: 'pa-lo-ma' (3 palmas). Empezad con palabras cortas y subid a largas (ma-ri-po-sa).,Conciencia silábica (separar las palabras en trozos).,1
2,fonologica,Conciencia fonológica,4,6,Buscar rimas,"Decid una palabra y buscad otra que suene igual al final: gato-pato, ratón-botón. Que adivine cuál rima entre dos opciones.",Conciencia de rima (sonidos finales).,2
2,fonologica,Conciencia fonológica,5,6,El sonido inicial,"Jugad a buscar palabras que empiecen por un sonido: 'mmm' → mesa, mamá, mono. Primero con su nombre y los de la familia.",Conciencia fonémica (detectar el sonido inicial).,3
3,reduccion_grupos,Reducción de grupos consonánticos,4,6,El tren de sonidos,"Decid juntos palabras con dos consonantes seguidas (tren, plato, globo) muy despacio, alargando el primer sonido: 'trrr-en'. Que note los dos sonidos.",Producir grupos consonánticos sin comerse una consonante.,1
3,sustitucion_r_l,Sustitución r→l,4,6,El coche y la lámpara,"Frente a un espejo, jugad a la moto 'rrr' (lengua arriba vibrando) y a la 'lll' (lengua tocando los dientes). Que vea y sienta la diferencia.",Diferenciar y articular /r/ frente a /l/.,1
3,errores_rr,Errores en rr,5,6,La moto que arranca,"Imitad motores y gatitos ('rrr', 'brrrum') haciendo vibrar la punta de la lengua detrás de los dientes de arriba. Empezad con 'tr', 'dr' (tren, dragón).",Estimular la vibrante múltiple /rr/.,1
3,omision_silabas,Omisión de sílabas,3,6,Palabras enteras con palmas,"Dad una palmada por cada trozo de la palabra y decidla entera: 'pe-lo-ta… ¡pelota!'. Usad palabras largas (mariposa, elefante).",Mantener todas las sílabas de la palabra.,1
3,oclusivizacion,Oclusivización,4,6,La serpiente y el viento,"Jugad a soplar sonidos largos: la serpiente 'sssss', el viento 'fffff'. Que el aire salga continuo y no de golpe (no 'tttt').","Mantener los sonidos de soplo (f, s) sin convertirlos en golpes.",1
3,oclusivizacion,Oclusivización,4,6,Juegos de soplo,"Soplar matasuegras, pompas o una pelotita de papel sobre la mesa.",Control del soplo para los sonidos continuos.,2
3,simplificacion_diptongos,Simplificación de diptongos,4,6,Las vocales que se dan la mano,"Cantad alargando las dos vocales juntas: 'pe-i-ne', 'a-u-to'. Que se oigan las dos.",Producir los diptongos completos.,1
3,omision_consonantes_finales,Omisión de consonantes finales,4,6,El sonido que se escapa,"Exagerad el último sonido de la palabra: 'pa-N', 'so-L', 'relo-J'. Jugad al eco repitiendo solo el final.",Mantener la consonante final de la palabra.,1
3,asimilaciones,Asimilaciones,4,6,Sonidos diferentes en una palabra,"Decid despacio palabras con dos sonidos distintos ('pato' no 'tato', 'casa' no 'tata'). Marcad cada sonido con un gesto distinto.",Evitar que un sonido contagie a otro dentro de la palabra.,1
